# Simulation 13 (Up to date)
# 713 data points written for 4 variables.
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
91.074,449.78,-45.134,556.16
91.077,449.64,-43.494,515.63
91.08,449.49,-41.853,476.55
91.084,449.34,-40.213,438.91
91.088,449.18,-38.573,402.73
91.093,449.01,-36.933,367.99
91.097,448.83,-35.293,334.7
91.103,448.65,-33.653,302.85
91.109,448.45,-32.013,272.45
91.116,448.24,-30.374,243.5
91.123,448.02,-28.734,216
91.132,447.77,-27.094,189.94
91.142,447.51,-25.455,165.33
91.153,447.23,-23.816,142.17
91.167,446.92,-22.177,120.46
91.183,446.57,-20.538,100.17
91.203,446.17,-18.899,81.33
91.229,445.71,-17.26,63.932
91.263,445.14,-15.62,47.968
91.312,444.42,-13.98,33.467
91.392,443.37,-12.349,20.46
91.546,441.57,-10.928,9.206
92.036,436.23,-10.856,0.14828
92.536,430.75,-11.074,-0.43689
92.954,426.22,-10.63,1.0625
93.362,421.76,-11.248,-1.514
93.862,416.38,-10.25,1.9958
94.179,412.95,-11.403,-3.6339
94.446,410.02,-10.539,3.2344
94.946,404.48,-11.625,-2.1722
95.21,401.57,-10.442,4.4926
95.71,396,-11.833,-2.7811
95.952,393.3,-10.443,5.7318
96.452,387.74,-11.815,-2.7447
96.688,385.11,-10.479,5.6725
97.113,380.43,-11.506,-2.4133
97.489,376.37,-10.151,3.6089
97.845,372.48,-11.695,-4.3334
98.061,370.07,-10.589,5.1287
98.561,364.54,-11.552,-1.9255
98.956,360.27,-10.026,3.8567
99.257,357.03,-11.516,-4.952
99.57,353.61,-10.329,3.7927
100.06,348.19,-11.969,-3.3757
100.3,345.5,-10.396,6.5384
100.77,340.3,-11.774,-2.9364
101.05,337.18,-10.27,5.3181
101.38,333.62,-11.41,-3.4721
101.67,330.46,-10.462,3.2763
101.98,327.12,-11.151,-2.231
102.48,321.73,-10.41,1.4817
102.89,317.12,-11.57,-2.7684
103.18,314.02,-10.381,4.2081
103.6,309.36,-11.628,-2.9481
103.92,305.85,-10.197,4.4438
104.29,301.87,-11.652,-3.9927
104.64,298.06,-10.061,4.5325
104.97,294.49,-11.63,-4.769
105.27,291.16,-10.259,4.5036
105.71,286.31,-11.884,-3.7111
105.98,283.35,-10.272,6.0269
106.28,280.13,-11.263,-3.314
106.75,275.07,-10.21,2.2373
107,272.34,-11.104,-3.4823
107.5,266.94,-10.491,1.2255
107.77,264.09,-10.977,-1.8313
108.27,258.67,-10.704,0.54651
108.51,256.08,-10.816,-0.46646
108.8,252.9,-10.827,-0.036207
109.3,247.44,-11.005,-0.35568
109.8,242.02,-10.672,0.66518
110.3,236.52,-11.332,-1.3198
110.71,232.1,-10.218,2.7208
111.11,227.71,-11.764,-3.8634
111.42,224.33,-10.126,5.305
111.79,220.26,-11.757,-4.3913
112.09,216.98,-10.173,5.2938
112.48,212.72,-11.771,-4.1137
112.74,209.89,-10.363,5.5088
113.24,204.33,-11.888,-3.0508
113.46,201.78,-10.456,6.2852
113.89,197.17,-11.456,-2.3763
114.25,193.19,-10.164,3.5086
114.63,189.06,-11.72,-4.1293
114.92,185.89,-10.231,5.1444
115.28,181.97,-11.546,-3.6579
115.55,179,-10.4,4.2324
116.05,173.45,-11.795,-2.7898
116.34,170.26,-10.179,5.5715
116.72,166.17,-11.68,-4.0069
117.05,162.55,-10.067,4.8488
117.38,158.97,-11.59,-4.6057
117.67,155.79,-10.298,4.4397
118.13,150.66,-11.857,-3.3658
118.4,147.66,-10.23,5.9911
118.57,145.95,-10.606,-2.2914
119.07,140.44,-11.42,-1.6277
119.56,135.24,-9.8299,3.2469
119.83,132.32,-11.45,-5.9097
120.31,127.24,-9.8112,3.4286
120.58,124.41,-11.405,-5.9799
121.08,119.1,-9.8236,3.1622
121.34,116.33,-11.357,-5.8552
121.84,111.01,-9.9084,2.8978
